# Sample MorfFlex forms for testing
# Format: word_form	lemma	tag
Praha	Praha	NNFS1-----A----
Brno	Brno	NNNS1-----A----
České	český	AAFP1----1A----
Budějovice	Budějovice	NNFP1-----A----
Králové	králové	NNMP1-----A----
Hradec	Hradec	NNIS1-----A----
Ostrava	Ostrava	NNFS1-----A----
Plzeň	Plzeň	NNFS1-----A----
Ústí	Ústí	NNNS1-----A----
Labem	Labe	NNIS7-----A----
Olomouc	Olomouc	NNIS1-----A----
Liberec	Liberec	NNIS1-----A----
Jihlava	Jihlava	NNFS1-----A----
Havířov	Havířov	NNIS1-----A----
Zlín	Zlín	NNIS1-----A----
Frýdek	Frýdek	NNIS1-----A----
Místek	Místek	NNIS1-----A----
Pardubice	Pardubice	NNFP1-----A----
Opava	Opava	NNFS1-----A----
Karviná	Karviná	NNFS1-----A----
Teplice	Teplice	NNFP1-----A----
Děčín	Děčín	NNIS1-----A----
Most	Most	NNIS1-----A----
Chomutov	Chomutov	NNIS1-----A----
Jablonec	Jablonec	NNIS1-----A----
Nisou	Nisa	NNFS7-----A----
Mladá	mladý	AAFS1----1A----
Boleslav	Boleslav	NNFS1-----A----
Prostějov	Prostějov	NNIS1-----A----
Přerov	Přerov	NNIS1-----A----
Česká	český	AAFS1----1A----
Třebíč	Třebíč	NNFS1-----A----
Uherské	uherský	AANS1----1A----
Hradiště	hradiště	NNNS1-----A----
Kroměříž	Kroměříž	NNFS1-----A----
Kolín	Kolín	NNIS1-----A----
Šumperk	Šumperk	NNIS1-----A----
Vsetín	Vsetín	NNIS1-----A----
Valašské	valašský	AANS1----1A----
Meziříčí	meziříčí	NNNS1-----A----
Cheb	Cheb	NNIS1-----A----
Břeclav	Břeclav	NNFS1-----A----
Hodonín	Hodonín	NNIS1-----A----
Vyškov	Vyškov	NNIS1-----A----
Sokolov	Sokolov	NNIS1-----A----
