NAZEV,ROD,PAD2,PAD3,PAD4,PAD5,PAD6,PAD7
Al-tar,M,Al-taru,Al-taru,Al-tar,Al-tare,Al-taru,Al-tarem
BenĄn,M,BenĄna,BenĄnu,BenĄn,BenĄne,BenĄnu,BenĄnem
Bernstejn,M,Bernstejna,Bernstejnu,Bernstejn,Bernstejne,Bernstejnu,Bernstejnem
Bezdez,M,Bezdezu,Bezdezu,Bezdez,Bezdeze,Bezdezu,Bezdezem
Borohr dek,M,Borohr dku,Borohr dku,Borohr dek,Borohr dku,Borohr dku,Borohr dkem
Boskovstejn,M,Boskovstejna,Boskovstejnu,Boskovstejn,Boskovstejne,Boskovstejnu,Boskovstejnem
Boumov,M,Boumova,Boumovu,Boumov,Boumove,Boumovu,Boumovem
Bourov,M,Bourova,Bourovu,Bourov,Bourove,Bourovu,Bourovem
Bouzov,M,Bouzova,Bouzovu,Bouzov,Bouzove,Bouzovu,Bouzovem
Brectejn,M,Brectejna,Brectejnu,Brectejn,Brectejne,Brectejnu,Brectejnem
Brenstejn,M,Brenstejna,Brenstejnu,Brenstejn,Brenstejne,Brenstejnu,Brenstejnem
Broumov,M,Broumova,Broumovu,Broumov,Broumove,Broumovu,Broumovem
Brectejn,M,Brectejna,Brectejnu,Brectejn,Brectejne,Brectejnu,Brectejnem
Brenstejn,M,Brenstejna,Brenstejnu,Brenstejn,Brenstejne,Brenstejnu,Brenstejnem
Bubnov,M,Bubnova,Bubnovu,Bubnov,Bubnove,Bubnovu,Bubnovem
Bubnstejn,M,Bubnstejna,Bubnstejnu,Bubnstejn,Bubnstejne,Bubnstejnu,Bubnstejnem
Carohrad,M,Carohradu,Carohradu,Carohrad,Carohrade,Carohradu,Carohradem
Cernohrad,M,Cernohradu,Cernohradu,Cernohrad,Cernohrade,Cernohradu,Cernohradem
Certuv hrad,M,Certova hradu,Certovu hradu,Certuv hrad,Certuv hrade,Certove hradu,Certovym hradem
Cerveny Hr dek,M,Cervenho Hr dku,Cervenmu Hr dku,Cerveny Hr dek,Cerveny Hr dku,Cervenm Hr dku,Cervenym Hr dkem
CĄhalĄn,M,CĄhalĄna,CĄhalĄnu,CĄhalĄn,CĄhalĄne,CĄhalĄnu,CĄhalĄnem
DevcĄn,M,DevcĄna,DevcĄnu,DevcĄn,DevcĄne,DevcĄnu,DevcĄnem
DevĄn,M,DevĄna,DevĄnu,DevĄn,DevĄne,DevĄnu,DevĄnem
DĄvcĄ Hrad,M,DĄvcĄho Hradu,DĄvcĄmu Hradu,DĄvcĄ Hrad,DĄvcĄ Hrade,DĄvcĄm Hradu,DĄvcĄm Hradem
DĄvcĄn,M,DĄvcĄna,DĄvcĄnu,DĄvcĄn,DĄvcĄne,DĄvcĄnu,DĄvcĄnem
Doupov,M,Doupova,Doupovu,Doupov,Doupove,Doupovu,Doupovem
DracĄn,M,DracĄna,DracĄnu,DracĄn,DracĄne,DracĄnu,DracĄnem
Drakov,M,Drakova,Drakovu,Drakov,Drakove,Drakovu,Drakovem
Frydstejn,M,Frydstejna,Frydstejnu,Frydstejn,Frydstejne,Frydstejnu,Frydstejnem
Harlech,M,Harlechu,Harlechu,Harlech,Harlechu,Harlechu,Harlechem
Hlubok ,F,Hlubok,Hlubok,Hlubokou,Hlubok ,Hlubok,Hlubokou
Hohnstejn,M,Hohnstejna,Hohnstejnu,Hohnstejn,Hohnstejne,Hohnstejnu,Hohnstejnem
Holstejn,M,Holstejna,Holstejnu,Holstejn,Holstejne,Holstejnu,Holstejnem
Hora,F,Hory,Hore,Horu,Horo,Hore,Horou
HorepnĄk,M,HorepnĄku,HorepnĄku,HorepnĄk,HorepnĄku,HorepnĄku,HorepnĄkem
Houbov,M,Houbova,Houbovu,Houbov,Houbove,Houbovu,Houbovem
Hrad,M,Hradu,Hradu,Hrad,Hrade,Hradu,Hradem
Jenstejn,M,Jenstejna,Jenstejnu,Jenstejn,Jenstejne,Jenstejnu,Jenstejnem
Kanov,M,Kanova,Kanovu,Kanov,Kanove,Kanovu,Kanovem
K nov,M,K nova,K novu,K nov,K nove,K novu,K novem
Karlstejn,M,Karlstejna,Karlstejnu,Karlstejn,Karlstejne,Karlstejnu,Karlstejnem
Klanov,M,Klanova,Klanovu,Klanov,Klanove,Klanovu,Klanovem
Kl nov,M,Kl nova,Kl novu,Kl nov,Kl nove,Kl novu,Kl novem
KokorĄn,M,KokorĄna,KokorĄnu,KokorĄn,KokorĄne,KokorĄnu,KokorĄnem
Kolov,M,Kolova,Kolovu,Kolov,Kolove,Kolovu,Kolovem
KonĄkov,M,KonĄkova,KonĄkovu,KonĄkov,KonĄkove,KonĄkovu,KonĄkovem
KonĄn,M,KonĄna,KonĄnu,KonĄn,KonĄne,KonĄnu,KonĄnem
KosorĄn,M,KosorĄna,KosorĄnu,KosorĄn,KosorĄne,KosorĄnu,KosorĄnem
Kost,F,Kosti,Kosti,Kost,Kosti,Kosti,KostĄ
KostĄn,M,KostĄna,KostĄnu,KostĄn,KostĄne,KostĄnu,KostĄnem
KosĄk,M,KosĄku,KosĄku,KosĄk,KosĄku,KosĄku,KosĄkem
Kost lov,M,Kost lova,Kost lovu,Kost lov,Kost love,Kost lovu,Kost lovem
