JMENO,POHLAVI,EKVIVALENC,PAD2,PAD3,PAD4,PAD5,PAD6,PAD7,CLOVEK,ELF,TRPASLIK,HOBIT,KUDUK,BARBAR,KROLL,VALECNIK,HRANICAR,ALCHYMISTA,KOUZELNIK,ZLODEJ
A-Ala,F,1744.0,A-Aly,A-Ale,A-Alu,A-Alo,A-Ale,A-Alou,1,1,0,0,0,1,0,1,1,1,1,1
Aala,F,1744.0,Aaly,Aale,Aalu,Aalo,Aale,Aalou,1,1,0,0,0,1,0,1,1,1,1,1
Aaron,M,1508.0,Aarona,Aaronovi,Aarona,Aarone,Aaronovi,Aaronem,1,0,0,0,0,1,0,1,1,1,1,1
Aasim,M,1504.0,Aasima,Aasimovi,Aasima,Aasime,Aasimovi,Aasimem,1,0,0,1,1,1,0,1,1,1,1,1
Abacus,M,2231.0,Abacuse,Abacusovi,Abacuse,Abacusi,Abacusovi,Abacusem,1,1,0,0,0,1,0,1,1,1,1,1
Abak,M,2000.0,Abaka,Abakovi,Abaka,Abaku,Abakovi,Abakem,1,1,1,1,1,1,1,1,1,1,1,1
Ab k,M,2000.0,Ab ka,Ab kovi,Ab ka,Ab ku,Ab kovi,Ab kem,1,1,1,1,1,1,1,1,1,1,1,1
Abaka,F,,Abaky,Abace,Abaku,Abako,Abace,Abakou,1,1,1,1,1,1,1,1,1,1,1,1
Abakus,M,2231.0,Abakuse,Abakusovi,Abakuse,Abakusi,Abakusovi,Abakusem,1,1,0,0,0,1,0,1,1,1,1,1
Abana,F,2829.0,Abany,Abane,Abanu,Abano,Abane,Abanou,1,1,1,1,1,1,1,1,1,1,1,1
Ab na,F,2829.0,Ab ny,Ab ne,Ab nu,Ab no,Ab ne,Ab nou,1,1,1,1,1,1,1,1,1,1,1,1
Abanax,M,,Abanaxe,Abanaxovi,Abanaxe,Abanaxi,Abanaxovi,Abanaxem,1,1,0,1,1,1,0,1,1,1,1,1
Abanaxa,F,,Abanaxy,Abanaxe,Abanaxu,Abanaxo,Abanaxe,Abanaxou,1,1,0,1,1,1,0,1,1,1,1,1
Abane,F,2829.0,Abane,Abane,Abane,Abane,Abane,Abane,1,1,1,0,0,1,0,1,1,1,1,1
Abanka,F,2829.0,Abanky,Abance,Abanku,Abanko,Abance,Abankou,1,0,0,1,1,1,0,1,1,1,1,1
Ab nka,F,2829.0,Ab nky,Ab nce,Ab nku,Ab nko,Ab nce,Ab nkou,1,0,0,1,1,1,0,1,1,1,1,1
Abanna,F,2829.0,Abanny,Abanne,Abannu,Abanno,Abanne,Abannou,1,1,1,0,0,1,0,1,1,1,1,1
Abanne,F,2829.0,Abanne,Abanne,Abanne,Abanne,Abanne,Abanne,1,1,1,0,0,1,0,1,1,1,1,1
Abas,M,2830.0,Abase,Abasovi,Abase,Abasi,Abasovi,Abasem,1,0,1,1,1,1,1,1,1,1,1,1
Ab s,M,2830.0,Ab se,Ab sovi,Ab se,Ab si,Ab sovi,Ab sem,1,0,1,1,1,1,0,1,1,1,1,1
Abbigail,F,3187.0,Abbigail,Abbigail,Abbigail,Abbigail,Abbigail,Abbigail,1,0,0,0,0,1,0,1,1,1,1,1
Abbondi,M,2859.0,Abbondiho,Abbondimu,Abbondiho,Abbondi,Abbondim,Abbondim,1,0,0,1,1,1,0,1,1,1,1,1
Abbondio,M,2859.0,Abbondia,Abbondiovi,Abbondia,Abbondio,Abbondiovi,Abbondiem,1,0,0,1,1,1,0,1,1,1,1,1
Abbondius,M,2859.0,Abbondia,Abbondiovi,Abbondia,Abbondie,Abbondiovi,Abbondiem,1,1,0,1,1,1,0,1,1,1,1,1
Abby,F,3186.0,Abby,Abby,Abby,Abby,Abby,Abby,1,0,0,0,0,1,0,1,1,1,1,1
Abdager,M,,Abdagera,Abdagerovi,Abdagera,Abdagere,Abdagerovi,Abdagerem,1,0,1,0,0,1,0,1,1,1,1,1
Abdela,F,2831.0,Abdely,Abdele,Abdelu,Abdelo,Abdele,Abdelou,1,1,1,1,1,1,1,1,1,1,1,1
Abdella,F,2831.0,Abdelly,Abdelle,Abdellu,Abdello,Abdelle,Abdellou,1,1,1,1,1,1,0,1,1,1,1,1
Abel,M,1527.0,Abela,Abelovi,Abela,Abele,Abelovi,Abelem,1,0,0,1,1,1,0,1,1,1,1,1
Abel,M,1527.0,Abela,Abelovi,Abela,Abele,Abelovi,Abelem,1,0,0,1,1,1,1,1,1,1,1,1
Abela,F,2809.0,Abely,Abele,Abelu,Abelo,Abele,Abelou,1,0,0,1,1,1,0,1,1,1,1,1
Abela,F,2809.0,Abely,Abele,Abelu,Abelo,Abele,Abelou,1,0,0,1,1,1,0,1,1,1,1,1
Abelmir,M,2505.0,Abelmira,Abelmirovi,Abelmira,Abelmire,Abelmirovi,Abelmirem,1,1,1,1,1,1,0,1,1,1,1,1
AbelmĄr,M,2505.0,AbelmĄra,AbelmĄrovi,AbelmĄra,AbelmĄre,AbelmĄrovi,AbelmĄrem,1,1,1,1,1,1,0,1,1,1,1,1
Abelmira,F,2506.0,Abelmiry,Abelmire,Abelmiru,Abelmiro,Abelmire,Abelmirou,1,1,1,1,1,1,0,1,1,1,1,1
AbelmĄra,F,2506.0,AbelmĄry,AbelmĄre,AbelmĄru,AbelmĄro,AbelmĄre,AbelmĄrou,1,1,1,1,1,1,0,1,1,1,1,1
Aberdan,M,,Aberdana,Aberdanovi,Aberdana,Aberdane,Aberdanovi,Aberdanem,1,0,1,0,0,1,0,1,1,1,1,1
Abigail,F,3187.0,Abigail,Abigail,Abigail,Abigail,Abigail,Abigail,1,0,0,0,0,1,0,1,1,1,1,1
Abilina,F,,Abiliny,Abiline,Abilinu,Abilino,Abiline,Abilinou,1,1,0,1,1,1,0,1,1,1,1,1
Abner,M,3188.0,Abnera,Abnerovi,Abnera,Abnere,Abnerovi,Abnerem,1,0,1,1,1,1,1,1,1,1,1,1
Abner,M,3188.0,Abnera,Abnerovi,Abnera,Abnere,Abnerovi,Abnerem,1,0,1,1,1,1,1,1,1,1,1,1
Abondi,M,2859.0,Abondiho,Abondimu,Abondiho,Abondi,Abondim,Abondim,1,0,0,1,1,1,0,1,1,1,1,1
Abondio,M,2859.0,Abondia,Abondiovi,Abondia,Abondio,Abondiovi,Abondiem,1,0,0,1,1,1,0,1,1,1,1,1
