NAZEV,ROD,PAD2,PAD3,PAD4,PAD5,PAD6,PAD7
Abertamy,f,Abertam,Abertamum,Abertamy,Abertamy,Abertamech,Abertamy
Abireo,N,Abirea,Abireu,Abireo,Abireo,Abireu,Abireem
Adamov,M,Adamova,Adamovu,Adamov,Adamove,Adamovu,Adamovem
Adamovice,f,Adamovic,AdamovicĄm,Adamovice,Adamovice,AdamovicĄch,Adamovicemi
Adarkar,M,Adarkaru,Adarkaru,Adarkar,Adarkare,Adarkaru,Adarkarem
Adrspach,M,Adrspachu,Adrspachu,Adrspach,Adrspachu,Adrspachu,Adrspachem
Albireo,N,Albirea,Albireu,Albireo,Albireo,Albireu,Albireem
Albrechtice,f,Albrechtic,AlbrechticĄm,Albrechtice,Albrechtice,AlbrechticĄch,Albrechticemi
Albrechticky,f,Albrechticek,Albrechtick m,Albrechticky,Albrechticky,Albrechtick ch,Albrechtickami
Alendos,M,Alendosu,Alendosu,Alendos,Alendose,Alendosu,Alendosem
Almov,M,Almova,Almovu,Almov,Almove,Almovu,Almovem
Almovice,f,Almovic,AlmovicĄm,Almovice,Almovice,AlmovicĄch,Almovicemi
Alojzov,M,Alojzova,Alojzovu,Alojzov,Alojzove,Alojzovu,Alojzovem
Alojzovice,f,Alojzovic,AlojzovicĄm,Alojzovice,Alojzovice,AlojzovicĄch,Alojzovicemi
Alvesta,F,Alvesty,Alveste,Alvestu,Alvesto,Alveste,Alvestou
Amador,M,Amadoru,Amadoru,Amador,Amadore,Amadoru,Amadorem
Amanta,F,Amanty,Amante,Amantu,Amanto,Amante,Amantou
Amarounov,M,Amarounova,Amarounovu,Amarounov,Amarounove,Amarounovu,Amarounovem
Amarounovice,f,Amarounovic,AmarounovicĄm,Amarounovice,Amarounovice,AmarounovicĄch,Amarounovicemi
Amarouny,m,Amarounu,Amarounum,Amarouny,Amarouny,Amarounech,Amarouny
Amarov,M,Amarova,Amarovu,Amarov,Amarove,Amarovu,Amarovem
Amarovice,f,Amarovic,AmarovicĄm,Amarovice,Amarovice,AmarovicĄch,Amarovicemi
Amat,M,Amatu,Amatu,Amat,Amate,Amatu,Amatem
Ambros,M,Ambrosu,Ambrosu,Ambros,Ambrose,Ambrosu,Ambrosem
Amir,M,Amiru,Amiru,Amir,Amire,Amiru,Amirem
Amn,M,Amnu,Amnu,Amn,Amne,Amnu,Amnem
Amora,F,Amory,Amore,Amoru,Amoro,Amore,Amorou
Amp,M,Ampu,Ampu,Amp,Ampe,Ampu,Ampem
Anaxaret,M,Anaxaretu,Anaxaretu,Anaxaret,Anaxarete,Anaxaretu,Anaxaretem
Anchor,M,Anchoru,Anchoru,Anchor,Anchore,Anchoru,Anchorem
Andelsk  Hora,F,Andelsk Hory,Andelsk Hore,Andelskou Horu,Andelsk  Horo,Andelsk Hore,Andelskou Horou
Anensk  Stud nka,F,Anensk Stud nky,Anensk Stud nce,Anenskou Stud nku,Anensk  Stud nko,Anensk Stud nce,Anenskou Stud nkou
Ankel,M,Ankelu,Ankelu,Ankel,Ankele,Ankelu,Ankelem
Ankor,M,Ankoru,Ankoru,Ankor,Ankore,Ankoru,Ankorem
Antar,M,Antaru,Antaru,Antar,Antare,Antaru,Antarem
Antrat,M,Antratu,Antratu,Antrat,Antrate,Antratu,Antratem
Araman,M,Aramanu,Aramanu,Araman,Aramane,Aramanu,Aramanem
Archlebov,M,Archlebova,Archlebovu,Archlebov,Archlebove,Archlebovu,Archlebovem
Archlebovice,f,Archlebovic,ArchlebovicĄm,Archlebovice,Archlebovice,ArchlebovicĄch,Archlebovicemi
Ardan,M,Ardanu,Ardanu,Ardan,Ardane,Ardanu,Ardanem
Argud,M,Argudu,Argudu,Argud,Argude,Argudu,Argudem
Arivor,M,Arivoru,Arivoru,Arivor,Arivore,Arivoru,Arivorem
Arnestov,M,Arnestova,Arnestovu,Arnestov,Arnestove,Arnestovu,Arnestovem
Arnestovice,f,Arnestovic,ArnestovicĄm,Arnestovice,Arnestovice,ArnestovicĄch,Arnestovicemi
Arnolec,F,Arnolce,Arnolci,Arnolec,Arnolci,Arnolci,ArnolcĄ
Arnoltice,f,Arnoltic,ArnolticĄm,Arnoltice,Arnoltice,ArnolticĄch,Arnolticemi
Arowe,N,Arowe,Arowe,Arowe,Arowe,Arowe,Arowe
Asajir,M,Asajiru,Asajiru,Asajir,Asajire,Asajiru,Asajirem
Aster,M,Asteru,Asteru,Aster,Astere,Asteru,Asterem
