NAZEV,ROD,PAD2,PAD3,PAD4,PAD5,PAD6,PAD7
Akrylonie,F,Akrylonie,Akrylonii,Akrylonii,Akrylonie,Akrylonii,AkryloniĄ
Akryl˘nie,F,Akryl˘nie,Akryl˘nii,Akryl˘nii,Akryl˘nie,Akryl˘nii,Akryl˘niĄ
Almendor,M,Almendoru,Almendoru,Almendor,Almendore,Almendoru,Almendorem
Almir,M,Almiru,Almiru,Almir,Almire,Almiru,Almirem
Alorie,F,Alorie,Alorii,Alorii,Alorie,Alorii,AloriĄ
Altaj,M,Altaje,Altaji,Altaj,Altaji,Altaji,Altajem
Anor,M,Anoru,Anoru,Anor,Anore,Anoru,Anorem
Antar,M,Antaru,Antaru,Antar,Antare,Antaru,Antarem
Aquilonie,F,Aquilonie,Aquilonii,Aquilonii,Aquilonie,Aquilonii,AquiloniĄ
Arador,M,Aradoru,Aradoru,Arador,Aradore,Aradoru,Aradorem
Aragonie,F,Aragonie,Aragonii,Aragonii,Aragonie,Aragonii,AragoniĄ
Arakis,M,Arakisu,Arakisu,Arakis,Arakise,Arakisu,Arakisem
Aralion,M,Aralionu,Aralionu,Aralion,Aralione,Aralionu,Aralionem
Arcie,F,Arcie,Arcii,Arcii,Arcie,Arcii,ArciĄ
Ardan,M,Ardanu,Ardan,Ardan,Ardane,Ardanu,Ardanem
Ark nie,F,Ark nie,Ark nii,Ark nii,Ark nie,Ark nii,Ark niĄ
Arrakis,M,Arrakisu,Arrakisu,Arrakis,Arrakise,Arrakisu,Arrakisem
Asturie,F,Asturie,Asturii,Asturii,Asturie,Asturii,AsturiĄ
AstŁrie,F,AstŁrie,AstŁrii,AstŁrii,AstŁrie,AstŁrii,AstŁriĄ
Avalonie,F,Avalonie,Avalonii,Avalonii,Avalonie,Avalonii,AvaloniĄ
Aventurie,F,Aventurie,Aventurii,Aventurii,Aventurie,Aventurii,AventuriĄ
AventŁrie,F,AventŁrie,AventŁrii,AventŁrii,AventŁrie,AventŁrii,AventŁriĄ
Banglor,M,Bangloru,Bangloru,Banglor,Banglore,Bangloru,Banglorem
Benalie,F,Benalie,Benalii,Benalii,Benalie,Benalii,BenaliĄ
Bizumie,F,Bizumie,Bizumii,Bizumii,Bizumie,Bizumii,BizumiĄ
BizŁmie,F,BizŁmie,BizŁmii,BizŁmii,BizŁmie,BizŁmii,BizŁmiĄ
Blansko,N,Blanska,Blansku,Blansko,Blansko,Blansku,Blanskem
Blazen  rĄse,F,Blazen rĄse,Blazen rĄsi,Blazen  rĄse,Blazen  rĄse,Blazen rĄsi,Blazenou rĄsĄ
BlĄzk  zeme,F,BlĄzk zeme,BlĄzk zemi,BlĄzkou zemi,BlĄzk  zeme,BlĄzk zemi,BlĄzkou zemĄ
